SYMBOL,SECTOR
CHEMCON,Basic Materials
CHEMFAB,Basic Materials
CHEMPLASTS,Basic Materials
CHENNPETRO,Energy
CHEVIOT,Consumer Cyclical
CHOICEIN,Financial Services
CHOLAFIN,Financial Services
CHOLAHLDNG,Financial Services
CIEINDIA,Consumer Cyclical
CIFL,Financial Services
CIGNITITEC,Technology
CINELINE,Communication Services
CINEVISTA,Communication Services
CIPLA,Healthcare
CLCIND,Consumer Cyclical
CLEAN,Basic Materials
CLEANMAX,Utilities
CLEDUCATE,Consumer Defensive
CLSEL,Consumer Defensive
CMICABLES,Industrials
CMPDI,Basic Materials
CMSINFO,Industrials
CNL,Technology
COALINDIA,Energy
COASTCORP,Consumer Defensive
COCHINSHIP,Industrials
COCKERILL,Industrials
COFFEEDAY,Consumer Cyclical
COFORGE,Technology
COHANCE,Healthcare
COLPAL,Consumer Defensive
COMFINTE,Unknown
COMPINFO,Technology
COMPUSOFT,Consumer Defensive
COMSYN,Consumer Cyclical
CONCOR,Industrials
CONCORDBIO,Healthcare
CONFIPET,Energy
CONSOFINVT,Financial Services
CONTROLPR,Industrials
CORALFINAC,Real Estate
CORDSCABLE,Industrials
COROMANDEL,Basic Materials
CORONA,Healthcare
COSMOFIRST,Consumer Cyclical
COUNCODOS,Real Estate
CPCAP,Financial Services
CPEDU,Consumer Defensive
CPPLUS,Industrials
CRAFTSMAN,Consumer Cyclical
CRAMC,Financial Services
CREATIVEYE,Communication Services
CREDITACC,Financial Services
CREST,Financial Services
CRISIL,Financial Services
CRIZAC,Consumer Defensive
CROMPTON,Consumer Cyclical
CROWN,Industrials
CSBBANK,Financial Services
CSLFINANCE,Financial Services
CTE,Technology
CUB,Financial Services
CUBEXTUB,Basic Materials
CUMMINSIND,Industrials
CUPID,Consumer Defensive
CURAA,Technology
CYBERMEDIA,Communication Services
CYBERTECH,Technology
CYIENT,Industrials
CYIENTDLM,Technology
DABUR,Consumer Defensive
DAICHI,Unknown
DALBHARAT,Basic Materials
DALMIASUG,Consumer Defensive
DAMCAPITAL,Financial Services
DAMODARIND,Consumer Cyclical
DANGEE,Consumer Cyclical
DATAMATICS,Technology
DATAPATTNS,Industrials
DAVANGERE,Consumer Defensive
DBCORP,Communication Services
DBEIL,Industrials
DBL,Industrials
DBOL,Consumer Defensive
DBREALTY,Real Estate
DBSTOCKBRO,Financial Services
DCAL,Healthcare
DCBBANK,Financial Services
DCI,Technology
DCM,Industrials
DCMFINSERV,Financial Services
DCMNVL,Consumer Cyclical
